college_name,city,state,nirf_rank,nirf_score,field,domain
Lala lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,46.17,Agriculture and Allied Sectors,Agriculture
Institute of Liver and Biliary Sciences,New Delhi,Delhi,34,56.89,Medical,Healthcare
"AU College of Pharmaceutical Sciences, Andhra University",Visakhapatnam,Andhra Pradesh,34,56.11,Pharmacy,Healthcare
Chitkara University,Rajpura,Punjab,35,50.96,Architecture and Planning,"Creative/Design,Engineering"
Institute of Management Technology,Ghaziabad,Uttar Pradesh,35,56.03,Management,Business/Finance
Govt. Medical College & Hospital,Chandigarh,Chandigarh,35,56.53,Medical,Healthcare
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,35,58.24,Engineering,"Technology/IT,Engineering"
Navsari Agricultural University,Navsari,Gujarat,35,45.9,Agriculture and Allied Sectors,Agriculture
"Poona College of Pharmacy, Pune",Pune,Maharashtra,35,55.86,Pharmacy,Healthcare
Indian Law Institute,New Delhi,Delhi,35,50.25,Law,Law
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,35,56.53,Medical,Healthcare
Chandigarh University,Mohali,Punjab,36,55.71,Management,Business/Finance
Bihar Agriculture University,Bhagalpur,Bihar,36,45.69,Agriculture and Allied Sectors,Agriculture
"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,36,49.87,Law,Law
Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,36,58.2,Engineering,"Technology/IT,Engineering"
Dr D Y Patil Institute of Pharmaceutical Sciences and Research,Pune,Maharashtra,36,55.24,Pharmacy,Healthcare
National Institute of Technology Raipur,Raipur,Chhattisgarh,36,50.63,Architecture and Planning,"Creative/Design,Engineering"
Jamia Hamdard,New Delhi,Delhi,37,55.53,Medical,Healthcare
Goa Institute of Management,Sanquelim,Goa,37,55.67,Management,Business/Finance
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,37,58.0,Engineering,"Technology/IT,Engineering"
Professor Jayashankar Telangana State Agricultural University,Hyderabad,Telangana,37,44.73,Agriculture and Allied Sectors,Agriculture
Nirma University,Ahmedabad,Gujarat,37,55.22,Pharmacy,Healthcare
Gandhi Institute of Technology and Management ,Visakhapatnam,Andhra Pradesh,37,48.49,Law,Law
Anant National University,Ahmedabad,Gujarat,37,49.53,Architecture and Planning,"Creative/Design,Engineering"
All India Institute of Medical Sciences Raipur,Raipur,Chhattisgarh,38,55.27,Medical,Healthcare
Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,38,44.63,Agriculture and Allied Sectors,Agriculture
Lovely Professional University,Phagwara,Punjab,38,55.49,Management,Business/Finance
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,38,57.97,Engineering,"Technology/IT,Engineering"
National University of Advanced Legal Studies (NUALS),Kochi,Kerala,38,47.96,Law,Law
Maharshi Dayanand University,Rohtak,Haryana,38,54.53,Pharmacy,Healthcare
"BMS School of Architecture, Yelahanka",Bengaluru,Karnataka,38,49.47,Architecture and Planning,"Creative/Design,Engineering"
Indira Gandhi Krishi Vishwavidyalaya,Raipur,Chhattisgarh,39,44.14,Agriculture and Allied Sectors,Agriculture
Amity University,North Twenty Four Parganas,West Bengal,39,47.94,Law,Law
Damodaram Sanjivayya National Law University,Visakhapatnam,Andhra Pradesh,39,47.94,Law,Law
"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,39,55.31,Management,Business/Finance
SVKM`s Dr. Bhanuben Nanavati College of Pharmacy,Mumbai,Maharashtra,39,54.18,Pharmacy,Healthcare
"JSS Medical College, Mysore",Mysuru,Karnataka,39,55.0,Medical,Healthcare
Gandhi Institute of Technology and Management ,Visakhapatnam,Andhra Pradesh,39,48.99,Architecture and Planning,"Creative/Design,Engineering"
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,Engineering,"Technology/IT,Engineering"
International Management Institute,New Delhi,Delhi,40,54.89,Management,Business/Finance
Noida Institute of Engineering and Technology (Pharmacy Institute),Greater Noida,Uttar Pradesh,40,53.55,Pharmacy,Healthcare
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,40,47.53,Architecture and Planning,"Creative/Design,Engineering"
Dayanand Medical College,Ludhiana,Punjab,40,54.48,Medical,Healthcare
National Institute of Technology Silchar,Silchar,Assam,40,57.6,Engineering,"Technology/IT,Engineering"
